date, rr, since start
2015-09-12 21:37:07 +0000, 656, 415349
2015-09-12 21:37:08 +0000, 715, 416064
2015-09-12 21:37:11 +0000, 793, 416857
2015-09-12 21:37:12 +0000, 760, 417617
2015-09-12 21:37:13 +0000, 708, 418325
2015-09-12 21:37:13 +0000, 697, 419022
2015-09-12 21:37:14 +0000, 677, 419699
2015-09-12 21:37:16 +0000, 663, 420362
2015-09-12 21:37:16 +0000, 651, 421013
2015-09-12 21:37:16 +0000, 639, 421652
2015-09-12 21:37:17 +0000, 641, 422293
2015-09-12 21:37:17 +0000, 675, 422968
2015-09-12 21:37:18 +0000, 764, 423732
2015-09-12 21:37:19 +0000, 764, 424496
2015-09-12 21:37:19 +0000, 668, 425164
2015-09-12 21:37:21 +0000, 665, 425829
2015-09-12 21:37:21 +0000, 741, 426570
2015-09-12 21:37:22 +0000, 869, 427439
2015-09-12 21:37:23 +0000, 957, 428396
2015-09-12 21:37:24 +0000, 949, 429345
2015-09-12 21:37:25 +0000, 1008, 430353
2015-09-12 21:37:26 +0000, 1051, 431404
2015-09-12 21:37:27 +0000, 995, 432399
2015-09-12 21:37:28 +0000, 1032, 433431
2015-09-12 21:37:29 +0000, 1019, 434450
2015-09-12 21:37:30 +0000, 991, 435441
2015-09-12 21:37:32 +0000, 1046, 436487
2015-09-12 21:37:32 +0000, 956, 437443
2015-09-12 21:37:33 +0000, 981, 438424
2015-09-12 21:37:34 +0000, 1000, 439424
2015-09-12 21:37:35 +0000, 977, 440401
2015-09-12 21:37:37 +0000, 1053, 441454
2015-09-12 21:37:38 +0000, 1031, 442485
2015-09-12 21:37:39 +0000, 1000, 443485
2015-09-12 21:37:40 +0000, 1042, 444527
2015-09-12 21:37:41 +0000, 982, 445509
2015-09-12 21:37:42 +0000, 981, 446490
2015-09-12 21:37:43 +0000, 1009, 447499
2015-09-12 21:37:44 +0000, 1013, 448512
2015-09-12 21:37:45 +0000, 1037, 449549
2015-09-12 21:37:46 +0000, 1020, 450569
2015-09-12 21:37:47 +0000, 1002, 451571
2015-09-12 21:37:48 +0000, 1059, 452630
2015-09-12 21:37:49 +0000, 1027, 453657
2015-09-12 21:37:50 +0000, 990, 454647
2015-09-12 21:37:51 +0000, 1033, 455680
2015-09-12 21:37:52 +0000, 1008, 456688
2015-09-12 21:37:53 +0000, 1012, 457700
